,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2021,microtubule cytoskeleton organization involved in mitosis (GO:1902850),29/128,5.3571954025400176e-11,9.700812600826577e-08,0,0,5.127080864511032,121.25543901793807,ERCC6L;BUB1B;CDCA8;TTK;WDR62;KIF11;CENPA;SKA1;AURKB;AURKA;CDC20;NUF2;BUB1;DLGAP5;PLK1;KNL1;NDC80;SGO1;CENPE;KIF18A;CENPF;ESPL1;KIF4B;CENPI;KIF4A;BIRC5;KIF2C;SPC24;SPC25
1,GO_Biological_Process_2021,mitotic spindle organization (GO:0007052),32/157,1.0459097143748331e-10,9.700812600826577e-08,0,0,4.487051353874883,103.11676510524838,ERCC6L;BUB1B;CDCA8;TTK;WDR62;KIF11;CENPA;SKA1;AURKB;AURKA;CDC20;NUF2;BUB1;MISP;DLGAP5;PLK1;KIF23;KNL1;NDC80;SGO1;TPX2;CENPE;KIF18A;CENPF;KIF4B;KIFC1;CENPI;KIF4A;BIRC5;KIF2C;SPC24;SPC25
2,GO_Biological_Process_2021,mitotic sister chromatid segregation (GO:0000070),19/102,2.6819974248961684e-06,0.0016583684077274,0,0,3.9730805139376697,50.97044622637442,SPAG5;CDCA5;PLK1;KIF14;CDCA8;NCAPG;KIF23;NCAPH;NDC80;SGO1;CENPE;KIF18A;KIF18B;ESPL1;KIFC1;CDK1;KIF2C;CEP55;DLGAP5
3,GO_Biological_Process_2021,sister chromatid segregation (GO:0000819),10/34,9.716646811292208e-06,0.0045060949587367,0,0,7.1946477584629465,83.03825003090436,TOP2A;SGO1;KIF18A;KIF18B;SPAG5;ESPL1;KIFC1;PLK1;CDCA8;NDC80
4,GO_Biological_Process_2021,chromosome condensation (GO:0030261),11/45,2.4482660416778112e-05,0.0090830670146246,0,0,5.58858543417367,59.33705973157288,TOP2A;H1-5;H1-4;H1-6;CDCA5;PLK1;CDK1;NCAPG;H1-1;NCAPH;H1-3
5,GO_Biological_Process_2021,kinetochore organization (GO:0051383),6/13,3.4055501018053656e-05,0.0102386129132079,0,0,14.759734340408908,151.8410471866839,CENPE;CENPF;NUF2;CENPA;NDC80;DLGAP5
6,GO_Biological_Process_2021,chromatin assembly (GO:0031497),14/73,3.863627514418084e-05,0.0102386129132079,0,0,4.104714323512474,41.70931144898394,H2BC9;H2BC3;H1-1;H2BC17;H2BC18;H1-3;H1-5;H2BC13;H1-4;H2BC14;H1-6;H3C13;H2BC10;H2BC11
7,GO_Biological_Process_2021,spindle assembly checkpoint signaling (GO:0071173),7/21,8.93647969591365e-05,0.0165771698359198,0,0,8.614507299270073,80.3111884344407,CDC20;CENPF;PLK1;BUB1B;TTK;TRIP13;BUB1
8,GO_Biological_Process_2021,mitotic spindle assembly checkpoint signaling (GO:0007094),7/21,8.93647969591365e-05,0.0165771698359198,0,0,8.614507299270073,80.3111884344407,CDC20;CENPF;PLK1;BUB1B;TTK;TRIP13;BUB1
9,GO_Biological_Process_2021,mitotic spindle checkpoint signaling (GO:0071174),7/21,8.93647969591365e-05,0.0165771698359198,0,0,8.614507299270073,80.3111884344407,CDC20;CENPF;PLK1;BUB1B;TTK;TRIP13;BUB1
