,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Cellular_Component_2021,microtubule (GO:0005874),24/182,6.586042406131935e-05,0.0105460473878272,0,0,2.6380263018969745,25.39884559169225,PLK1;KIF14;ZNF804A;KIF23;KIF11;SKA3;SKA1;AURKB;KIF15;AURKA;TPX2;CENPE;KIF18A;KIF18B;TUBB3;KIFC1;KIF4A;KIF26B;CDK1;BIRC5;KIF2C;KIF20A;KIF1A;FSD1
1,GO_Cellular_Component_2021,spindle microtubule (GO:0005876),12/61,0.00010546047387827298,0.0105460473878272,0,0,4.230831104210703,38.74245798386809,CENPE;KIF18A;KIF18B;KIF4A;PLK1;CDK1;BIRC5;KIF11;SKA3;AURKB;SKA1;AURKA
2,GO_Cellular_Component_2021,spindle (GO:0005819),22/192,0.0009392737993425163,0.0626182532895011,0,0,2.24190020133863,15.626949088897256,SPAG5;CKAP2L;PLK1;BUB1B;KIF23;TTK;KIF11;SKA3;SKA1;AURKB;AURKA;CDC20;TPX2;CENPF;ESPL1;KIFC1;KIF4A;CDK1;BIRC5;KIF2C;KIF20A;FAM83D
3,GO_Cellular_Component_2021,"condensed chromosome, centromeric region (GO:0000779)",4/10,0.0014776065285197,0.0738803264259876,0,0,11.45950864422202,74.6854190767412,SGO1;CENPE;CENPA;AURKB
4,GO_Cellular_Component_2021,cyclin-dependent protein kinase holoenzyme complex (GO:0000307),6/30,0.0052658886334382,0.2106355453375291,0,0,4.3010483135824975,22.565473058177066,CCNA2;CCNB2;CCNE1;CDK1;CKS2;CCNP
5,GO_Cellular_Component_2021,serine/threonine protein kinase complex (GO:1902554),6/37,0.0148703788147563,0.4307601101587204,0,0,3.3286088158320344,14.008064228377387,CCNA2;CCNB2;CCNE1;CDK1;CKS2;CCNP
6,GO_Cellular_Component_2021,mitotic spindle (GO:0072686),13/120,0.0150766038555552,0.4307601101587204,0,0,2.094401097487782,8.785198196687478,SPAG5;CKAP2L;KIF23;KIF11;SKA3;SKA1;TPX2;KIF18A;KIF18B;ESPL1;KIFC1;CDK1;FAM83D
7,GO_Cellular_Component_2021,cyclin A2-CDK2 complex (GO:0097124),2/5,0.0271788182951392,0.6145881623830816,0,0,11.440508628519527,41.24666423068267,CCNA2;CCNP
8,GO_Cellular_Component_2021,microtubule cytoskeleton (GO:0015630),27/331,0.0276564673072386,0.6145881623830816,0,0,1.5347137301897866,5.506392761614567,KIF14;BUB1B;TTK;KIF11;HMMR;SKA1;AURKB;KIF15;AURKA;CDC20;CCNB2;TUBB3;KIF1A;FSD1;FAM83D;GTSE1;PLK1;KIF23;TPX2;CENPE;CENPF;KIF18A;KIF18B;KIFC1;KIF26B;KIF2C;KIF20A
9,GO_Cellular_Component_2021,astral microtubule (GO:0000235),2/7,0.0530301622261317,0.8838360371021962,0,0,6.863578564940963,20.15760564831268,KIF18A;KIF18B
