,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Cellular_Component_2021,microtubule (GO:0005874),24/182,6.493663475024096e-05,0.0104557595349105,0,0,2.6406143585167094,25.461064045148373,PLK1;KIF14;ZNF804A;KIF23;KIF11;SKA3;SKA1;AURKB;KIF15;AURKA;TPX2;CENPE;KIF18A;KIF18B;TUBB3;KIFC1;KIF4A;KIF26B;CDK1;BIRC5;KIF2C;KIF20A;KIF1A;FSD1
1,GO_Cellular_Component_2021,spindle microtubule (GO:0005876),12/61,0.00010455759534910516,0.0104557595349105,0,0,4.2349372776633585,38.81647158259859,CENPE;KIF18A;KIF18B;KIF4A;PLK1;CDK1;BIRC5;KIF11;SKA3;AURKB;SKA1;AURKA
2,GO_Cellular_Component_2021,spindle (GO:0005819),22/192,0.0009282848044780964,0.061885653631873,0,0,2.244095860566449,15.66866321762703,SPAG5;CKAP2L;PLK1;BUB1B;KIF23;TTK;KIF11;SKA3;SKA1;AURKB;AURKA;CDC20;TPX2;CENPF;ESPL1;KIFC1;KIF4A;CDK1;BIRC5;KIF2C;KIF20A;FAM83D
3,GO_Cellular_Component_2021,"condensed chromosome, centromeric region (GO:0000779)",4/10,0.0014726139643562,0.0736306982178132,0,0,11.470552519732848,74.79621821516741,SGO1;CENPE;CENPA;AURKB
4,GO_Cellular_Component_2021,cyclin-dependent protein kinase holoenzyme complex (GO:0000307),6/30,0.0052427486287463,0.2097099451498554,0,0,4.305200729927007,22.60621885554161,CCNA2;CCNB2;CCNE1;CDK1;CKS2;CCNP
5,GO_Cellular_Component_2021,serine/threonine protein kinase complex (GO:1902554),6/37,0.0148093774802414,0.4278251649796227,0,0,3.3318224629149986,14.035284417494353,CCNA2;CCNB2;CCNE1;CDK1;CKS2;CCNP
6,GO_Cellular_Component_2021,mitotic spindle (GO:0072686),13/120,0.0149738807742867,0.4278251649796227,0,0,2.096435896775744,8.80806614858707,SPAG5;CKAP2L;KIF23;KIF11;SKA3;SKA1;TPX2;KIF18A;KIF18B;ESPL1;KIFC1;CDK1;FAM83D
7,GO_Cellular_Component_2021,cyclin A2-CDK2 complex (GO:0097124),2/5,0.0271323253885985,0.608539263634925,0,0,11.451515151515151,41.305952320446536,CCNA2;CCNP
8,GO_Cellular_Component_2021,microtubule cytoskeleton (GO:0015630),27/331,0.0273842668635716,0.608539263634925,0,0,1.5362239902080783,5.527006136595795,KIF14;BUB1B;TTK;KIF11;HMMR;SKA1;AURKB;KIF15;AURKA;CDC20;CCNB2;TUBB3;KIF1A;FSD1;FAM83D;GTSE1;PLK1;KIF23;TPX2;CENPE;CENPF;KIF18A;KIF18B;KIFC1;KIF26B;KIF2C;KIF20A
9,GO_Cellular_Component_2021,astral microtubule (GO:0000235),2/7,0.0529429835522933,0.8823830592048899,0,0,6.870181818181818,20.18830220121855,KIF18A;KIF18B
